,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2Nsr6Z_xpLg,1,0,1,374.0,100.0,427.0,179.0,14,0.4032803177833557
1,2Nsr6Z_xpLg,1,0,3,359.0,172.0,418.0,274.0,14,0.8129171133041382
2,2Nsr6Z_xpLg,1,0,3,353.0,87.0,458.0,190.0,14,0.5433071255683899
3,2Nsr6Z_xpLg,1,0,4,347.0,67.0,459.0,165.0,14,0.4027142822742462
4,2Nsr6Z_xpLg,1,0,7,382.0,157.0,480.0,296.0,14,0.6021015048027039
5,2Nsr6Z_xpLg,1,0,7,278.0,72.0,504.0,193.0,14,0.43789342045783997
6,2Nsr6Z_xpLg,1,0,8,347.0,64.0,435.0,177.0,14,0.4856491684913635
7,2Nsr6Z_xpLg,1,0,8,424.0,159.0,495.0,287.0,14,0.47712716460227966
8,2Nsr6Z_xpLg,1,0,9,353.0,150.0,452.0,295.0,14,0.8259332776069641
9,2Nsr6Z_xpLg,1,0,10,343.0,79.0,431.0,189.0,14,0.47861000895500183
